"ID"|"project_name"|"subcategory_name"|"category_name"|"country"|"currency"|"launch_date"|"deadline_date"|"duration_days"|"goal"|"money_raised"|"no_of_backers"|"outcome"
4026|"Monster Stacker"|"Video Games"|"Games"|"US"|"USD"|"2013-10-02 00:00:00"|"2013-11-01 00:00:00"|30|3000.0|4160.0|108|"successful"
4027|"Help Justice Prevails! record their sophomore project"|"Indie Rock"|"Music"|"US"|"USD"|"2011-11-22 00:00:00"|"2011-12-22 00:00:00"|30|2200.0|2410.0|56|"successful"
4028|"2012 Calender "|"Photography"|"Photography"|"US"|"USD"|"2011-01-15 00:00:00"|"2011-03-01 00:00:00"|45|6500.0|20.0|1|"failed"
4029|"The Bristowl"|"Children's Books"|"Publishing"|"GB"|"GBP"|"2014-06-27 00:00:00"|"2014-07-25 00:00:00"|28|5096.41|2232.23|49|"failed"
4030|"LDS Mission Prep App: a mormon missionary preparation tool"|"Apps"|"Technology"|"US"|"USD"|"2015-05-07 00:00:00"|"2015-06-04 00:00:00"|28|10000.0|11415.0|115|"successful"
4031|"Color Me Dirty coloring book for adults"|"Illustration"|"Art"|"US"|"USD"|"2016-04-26 00:00:00"|"2016-05-11 00:00:00"|15|1000.0|1034.0|15|"successful"
4032|"JOIN NCULT <> BECOME FICTION"|"Events"|"Food"|"US"|"USD"|"2014-05-20 00:00:00"|"2014-06-21 00:00:00"|32|15500.0|195.0|7|"failed"
4033|"Racer's Eyes On the MR340! (Canceled)"|"Photography"|"Photography"|"US"|"USD"|"2012-05-07 00:00:00"|"2012-06-06 00:00:00"|30|6000.0|0.0|0|"canceled"
4034|"Liquid Metal"|"Video Games"|"Games"|"US"|"USD"|"2016-06-24 00:00:00"|"2016-07-25 00:00:00"|31|120000.0|4382.0|32|"failed"
4035|"Help Build the Book House!"|"Publishing"|"Publishing"|"US"|"USD"|"2013-11-08 00:00:00"|"2013-12-08 00:00:00"|30|10000.0|12280.66|314|"successful"
4036|"New Business in publishing printing books"|"Print"|"Journalism"|"US"|"USD"|"2017-07-28 00:00:00"|"2017-09-26 00:00:00"|60|5000.0|2.0|2|"failed"
4037|"Help give Great Neck a Break!"|"Rock"|"Music"|"US"|"USD"|"2012-03-05 00:00:00"|"2012-04-18 00:00:00"|44|2300.0|1550.0|8|"failed"
4038|"fragilidad"|"Drama"|"Film & Video"|"MX"|"MXN"|"2017-12-15 00:00:00"|"2018-01-14 00:00:00"|30|3401.0|0.0|0|"live"
4039|"Transitioning mindset"|"Literary Journals"|"Publishing"|"US"|"USD"|"2015-04-20 00:00:00"|"2015-05-20 00:00:00"|30|600.0|0.0|0|"failed"
4040|"Tesla vs. Edison: Duel"|"Tabletop Games"|"Games"|"US"|"USD"|"2017-04-18 00:00:00"|"2017-05-17 00:00:00"|29|5000.0|63702.0|1591|"successful"
4041|"A Draft Of A Soul"|"Rock"|"Music"|"IT"|"EUR"|"2016-05-06 00:00:00"|"2016-06-20 00:00:00"|45|1493.91|5.53|1|"failed"
4042|"Goodnight, Bogie"|"Shorts"|"Film & Video"|"US"|"USD"|"2013-03-13 00:00:00"|"2013-03-27 00:00:00"|14|2500.0|3210.0|39|"successful"
4043|"Lindsey Watson Debut EP"|"Music"|"Music"|"US"|"USD"|"2017-05-01 00:00:00"|"2017-05-31 00:00:00"|30|1200.0|220.0|4|"failed"
4044|"Webhook"|"Web"|"Technology"|"US"|"USD"|"2014-04-21 00:00:00"|"2014-05-21 00:00:00"|30|20000.0|40071.0|1079|"successful"
4045|"M&J's Eastside Deli"|"Restaurants"|"Food"|"CA"|"CAD"|"2015-02-14 00:00:00"|"2015-04-15 00:00:00"|60|2460.83|553.69|7|"failed"
4046|"Grant Maledy Trio Album"|"Indie Rock"|"Music"|"US"|"USD"|"2011-01-21 00:00:00"|"2011-02-20 00:00:00"|30|3350.0|60.0|2|"failed"
4047|"Chase R Noble----Debut Album"|"Rock"|"Music"|"US"|"USD"|"2013-01-10 00:00:00"|"2013-02-09 00:00:00"|30|3500.0|285.0|6|"failed"
4048|"Sayno Anti-drug Educational Game"|"Games"|"Games"|"US"|"USD"|"2017-08-14 00:00:00"|"2017-09-13 00:00:00"|30|35000.0|15.0|2|"failed"
4049|"Grant Rising: First in a New Series of Civil War Map Books"|"Nonfiction"|"Publishing"|"US"|"USD"|"2013-05-24 00:00:00"|"2013-06-25 00:00:00"|32|12500.0|14375.0|219|"successful"
4050|"By Blood Alone's new cd, ""Thunderbirds"""|"Pop"|"Music"|"US"|"USD"|"2011-01-26 00:00:00"|"2011-03-01 00:00:00"|34|1500.0|1600.0|27|"successful"
4051|"Mothguts (NJ grindy jazz metal) - album and tour "|"Indie Rock"|"Music"|"US"|"USD"|"2011-04-01 00:00:00"|"2011-06-18 00:00:00"|78|2500.0|80.0|6|"failed"
4052|"The XnX (.moe) project"|"Mobile Games"|"Games"|"GB"|"GBP"|"2017-06-26 00:00:00"|"2017-07-03 00:00:00"|7|64.48|0.0|0|"failed"
4053|"Bring Down the Sky: an album by Shipwreck Karpathos"|"Punk"|"Music"|"US"|"USD"|"2016-03-04 00:00:00"|"2016-04-04 00:00:00"|31|1400.0|2428.43|59|"successful"
4054|"Jael Johnson Music"|"Pop"|"Music"|"US"|"USD"|"2012-02-20 00:00:00"|"2012-03-31 00:00:00"|40|2500.0|2551.0|23|"successful"
4055|"DOUBLE K: VOLUME 1 and BEYOND"|"Comics"|"Comics"|"US"|"USD"|"2012-01-12 00:00:00"|"2012-02-11 00:00:00"|30|5500.0|26810.58|698|"successful"
4056|"Coccinella Yoga: Handmade Yoga Mat Bags"|"Product Design"|"Design"|"US"|"USD"|"2013-02-04 00:00:00"|"2013-03-16 00:00:00"|40|2000.0|2228.0|48|"successful"
4057|"Returning to Faith (Canceled)"|"Fiction"|"Publishing"|"US"|"USD"|"2014-07-09 00:00:00"|"2014-08-08 00:00:00"|30|9000.0|0.0|0|"canceled"
4058|"The Gigolo - Origins"|"Television"|"Film & Video"|"GB"|"GBP"|"2014-05-01 00:00:00"|"2014-06-10 00:00:00"|40|11873.46|3850.39|9|"failed"
4059|"Fighting Spirit"|"Narrative Film"|"Film & Video"|"US"|"USD"|"2012-03-22 00:00:00"|"2012-05-21 00:00:00"|60|10000.0|296.0|7|"failed"
4060|"Cuisine Investigators Alliance (Japan-Kanto Series)"|"Webseries"|"Film & Video"|"US"|"USD"|"2015-01-02 00:00:00"|"2015-02-01 00:00:00"|30|30000.0|540.0|3|"failed"
4061|"Meet Mauritius (Canceled)"|"Documentary"|"Film & Video"|"US"|"USD"|"2010-05-13 00:00:00"|"2010-06-13 00:00:00"|31|2000.0|70.0|4|"canceled"
4062|"Put STEVIE MONCE on the map!! Help fund the CAN'T STOP US NOW! marketing campaign!"|"Music"|"Music"|"US"|"USD"|"2009-07-28 00:00:00"|"2009-10-02 00:00:00"|66|5000.0|5350.0|31|"successful"
4063|"All Of The Fairy Bread"|"Events"|"Food"|"AU"|"AUD"|"2014-07-15 00:00:00"|"2014-08-12 00:00:00"|28|55.93|55.93|3|"successful"
4064|"Legacy of Mana RPG Setting for Pathfinder and 5E"|"Tabletop Games"|"Games"|"US"|"USD"|"2016-10-11 00:00:00"|"2016-10-25 00:00:00"|14|11500.0|3052.0|53|"canceled"
4065|"Albee's The Zoo Story in Denver, CO!"|"Theater"|"Theater"|"US"|"USD"|"2012-02-24 00:00:00"|"2012-03-24 00:00:00"|29|2000.0|2220.0|57|"successful"
4066|"Bunyan Beard Co"|"Product Design"|"Design"|"US"|"USD"|"2017-02-01 00:00:00"|"2017-03-01 00:00:00"|28|500.0|380.0|15|"failed"
4067|"Angry Arrogant Chef Food Truck"|"Food Trucks"|"Food"|"US"|"USD"|"2014-08-06 00:00:00"|"2014-09-05 00:00:00"|30|35000.0|540.0|4|"failed"
4068|"Amazon Product Page Monitor"|"Web"|"Technology"|"GB"|"GBP"|"2015-09-28 00:00:00"|"2015-10-28 00:00:00"|30|30679.55|0.0|0|"failed"
4069|"30 Minutes Max Short Film In Need Of A Miracle"|"Horror"|"Film & Video"|"US"|"USD"|"2015-11-04 00:00:00"|"2015-12-04 00:00:00"|30|1500.0|2.0|1|"failed"
4070|"Artistic mind crossing into the car scene using Plasti Dip"|"Painting"|"Art"|"US"|"USD"|"2014-07-10 00:00:00"|"2014-08-11 00:00:00"|32|5000.0|10.0|1|"failed"
4071|"The Jumumblies"|"Children's Books"|"Publishing"|"GB"|"GBP"|"2014-09-11 00:00:00"|"2014-10-11 00:00:00"|30|2417.91|2521.08|62|"successful"
4072|"On Myth, Genius & Human Bioluminescence"|"Painting"|"Art"|"US"|"USD"|"2011-01-31 00:00:00"|"2011-03-02 00:00:00"|30|4800.0|0.0|0|"failed"
4073|"Healer 32-Science Fiction Novel (Canceled)"|"Fiction"|"Publishing"|"US"|"USD"|"2016-06-10 00:00:00"|"2016-07-12 00:00:00"|32|33000.0|500.0|1|"canceled"
4074|"Clara veut être actrice"|"Theater"|"Theater"|"CA"|"CAD"|"2015-05-11 00:00:00"|"2015-06-10 00:00:00"|30|121.92|341.38|12|"successful"
4075|"Dhawa.Net Community ISP"|"Technology"|"Technology"|"GB"|"GBP"|"2014-07-08 00:00:00"|"2014-08-07 00:00:00"|30|1008.25|0.0|0|"failed"
4076|"Bring Movies Back to Cloverdale - Upgrade the Clover Theater"|"Film & Video"|"Film & Video"|"US"|"USD"|"2013-05-30 00:00:00"|"2013-06-04 00:00:00"|5|48000.0|60297.0|394|"successful"
4077|"Tiny Shops Burgers - Education via Gamification (Canceled)"|"Video Games"|"Games"|"AU"|"AUD"|"2013-11-13 00:00:00"|"2013-12-13 00:00:00"|30|2234.94|992.31|12|"canceled"
4078|"Ville Dimenticate / Forgotten Mansions - Photobook 20x30cm"|"Photobooks"|"Photography"|"IT"|"EUR"|"2016-08-11 00:00:00"|"2016-09-10 00:00:00"|30|2245.2|120.12|4|"failed"
4079|"Girl Genius Volume 13: Agatha Heterodyne & The Sleeping City"|"Comics"|"Comics"|"US"|"USD"|"2014-04-09 00:00:00"|"2014-05-03 00:00:00"|24|55000.0|219327.22|3378|"successful"
4080|"weirdO with a BeardO"|"Fashion"|"Fashion"|"US"|"USD"|"2015-06-11 00:00:00"|"2015-07-11 00:00:00"|30|20000.0|33.0|1|"failed"
4081|"Exploracion urbana en lugares rurales"|"Horror"|"Film & Video"|"MX"|"MXN"|"2017-02-22 00:00:00"|"2017-04-03 00:00:00"|40|186.52|0.53|1|"failed"
4082|"Mural Me, Baby!"|"Public Art"|"Art"|"US"|"USD"|"2016-04-06 00:00:00"|"2016-04-27 00:00:00"|21|3000.0|4061.0|63|"successful"
4083|"Rude Story Cards. An easy, fun & outrageous party card game"|"Tabletop Games"|"Games"|"CA"|"CAD"|"2016-08-15 00:00:00"|"2016-10-14 00:00:00"|60|75.95|91.9|4|"canceled"
4084|"Help needed for ""NightOwl"" the nightlife App"|"Apps"|"Technology"|"US"|"USD"|"2014-08-13 00:00:00"|"2014-09-12 00:00:00"|30|40000.0|6.0|1|"failed"
4085|"Frank's return to ""A Day in the Dirt"" Documentary"|"Documentary"|"Film & Video"|"US"|"USD"|"2012-09-12 00:00:00"|"2012-09-27 00:00:00"|15|5850.0|5854.82|59|"successful"
4086|"The Adopted Life - Episodes"|"Webseries"|"Film & Video"|"US"|"USD"|"2015-11-01 00:00:00"|"2015-12-01 00:00:00"|30|28785.0|31801.0|350|"successful"
4087|"1ST Draft Notebooks"|"Publishing"|"Publishing"|"GB"|"GBP"|"2013-11-07 00:00:00"|"2013-12-07 00:00:00"|30|6507.98|131.79|10|"failed"
4088|"Cyborg Penguins (Canceled)"|"Comic Books"|"Comics"|"US"|"USD"|"2015-03-09 00:00:00"|"2015-04-08 00:00:00"|30|5000.0|565.0|22|"canceled"
4089|"Art Expo Milano 2015 Kate Askegaard"|"Art"|"Art"|"US"|"USD"|"2015-02-02 00:00:00"|"2015-03-04 00:00:00"|30|675.0|681.0|11|"successful"
4090|"Carnage Live!"|"Video Games"|"Games"|"GB"|"GBP"|"2012-12-05 00:00:00"|"2013-02-03 00:00:00"|60|63208.13|2572.57|41|"failed"
4091|"Average Fellas - A Gangster Comedy"|"Comedy"|"Film & Video"|"US"|"USD"|"2017-01-28 00:00:00"|"2017-02-27 00:00:00"|30|200.0|540.0|19|"successful"
4092|"White Violin - Gothic Yuri Visual Novel"|"Video Games"|"Games"|"HK"|"HKD"|"2016-09-24 00:00:00"|"2016-10-24 00:00:00"|30|6448.45|3036.58|149|"failed"
4093|"KeyPal: Your Key's New Pal"|"Product Design"|"Design"|"US"|"USD"|"2015-04-29 00:00:00"|"2015-05-09 00:00:00"|10|25000.0|1262.0|15|"failed"
4094|"Zombie Are Real"|"Film & Video"|"Film & Video"|"N,0"""|"CAD"|"2014-09-29 00:00:00"|"2014-10-26 00:00:00"|27|8869.97|0.89|0|"undefined"
4095|"Everglades Multi Media Art Book"|"Mixed Media"|"Art"|"US"|"USD"|"2010-02-15 00:00:00"|"2010-05-14 00:00:00"|88|7500.0|10708.37|110|"successful"
4096|"Art in the Dark: Drop of a Hat"|"Dance"|"Dance"|"US"|"USD"|"2015-06-26 00:00:00"|"2015-07-17 00:00:00"|21|3000.0|3805.45|38|"successful"
4097|"Mel Washington - ""Houses” and Album release tour PRE-SALE"|"Music"|"Music"|"US"|"USD"|"2012-12-17 00:00:00"|"2013-01-15 00:00:00"|29|5000.0|629.0|29|"failed"
4098|"Season 2: Youth Empowerment Performance Project (YEPP)"|"Theater"|"Theater"|"US"|"USD"|"2012-05-16 00:00:00"|"2012-07-01 00:00:00"|46|4750.0|5000.0|77|"successful"
4099|"Confined Space"|"Video Games"|"Games"|"NO"|"NOK"|"2016-03-28 00:00:00"|"2016-04-27 00:00:00"|30|61872.0|30.19|8|"failed"
4100|"Raising the dead: Merch!!!!!"|"Rock"|"Music"|"US"|"USD"|"2012-08-13 00:00:00"|"2012-09-12 00:00:00"|30|700.0|759.66|18|"successful"
4101|"""GRAFFITI"" the gateway art"|"Art Books"|"Publishing"|"US"|"USD"|"2015-06-03 00:00:00"|"2015-07-03 00:00:00"|30|6000.0|1387.0|21|"failed"
4102|"THROW YOUR SHOES BENEATH THE BED"|"Children's Books"|"Publishing"|"US"|"USD"|"2015-05-05 00:00:00"|"2015-05-29 00:00:00"|24|3000.0|0.0|0|"failed"
4103|"The Reverie - A Post-Apocalyptic Fairytale"|"Shorts"|"Film & Video"|"GB"|"GBP"|"2014-03-09 00:00:00"|"2014-04-08 00:00:00"|30|8031.05|9076.76|106|"successful"
4104|"Kebabs Of India"|"Small Batch"|"Food"|"AU"|"AUD"|"2015-10-29 00:00:00"|"2015-11-12 00:00:00"|14|35696.44|0.0|0|"failed"
4105|"""Hood"", a clever retelling of Robin Hood: Free Family Theatre"|"Theater"|"Theater"|"US"|"USD"|"2010-07-19 00:00:00"|"2010-09-15 00:00:00"|58|1000.0|235.0|4|"failed"
4106|"NeighborMart"|"Technology"|"Technology"|"US"|"USD"|"2014-10-27 00:00:00"|"2014-12-11 00:00:00"|45|40000.0|0.0|0|"failed"
4107|"""The Fellini Files"" SS2017 Collection."|"Couture"|"Fashion"|"US"|"USD"|"2016-06-24 00:00:00"|"2016-07-24 00:00:00"|30|12500.0|15264.0|68|"successful"
4108|"Pet Peeves™ Vest: a new inVESTment in your pet's safety!"|"Product Design"|"Design"|"US"|"USD"|"2017-08-09 00:00:00"|"2017-09-23 00:00:00"|45|30000.0|2914.0|32|"canceled"
4109|"Budsleeves--NO MORE TANGLED EARBUDS"|"Sound"|"Technology"|"US"|"USD"|"2017-05-05 00:00:00"|"2017-06-04 00:00:00"|30|10000.0|426.0|13|"failed"
4110|"Preserving the Labor Movement: Kenneth Smallwood"|"Documentary"|"Film & Video"|"US"|"USD"|"2014-04-30 00:00:00"|"2014-05-20 00:00:00"|20|5313.0|179.0|6|"failed"
4111|"JEFF - A Film About The People Around Jeffrey Dahmer"|"Documentary"|"Film & Video"|"US"|"USD"|"2011-11-29 00:00:00"|"2012-01-09 00:00:00"|41|15000.0|15662.0|177|"successful"
4112|"Wallen Black Walnut Orchard"|"Farms"|"Food"|"US"|"USD"|"2015-06-01 00:00:00"|"2015-07-01 00:00:00"|30|6000.0|760.0|11|"failed"
4113|"Bacon cupcakes."|"Bacon"|"Food"|"US"|"USD"|"2014-07-06 00:00:00"|"2014-07-24 00:00:00"|18|12.0|40.0|10|"successful"
4114|"All in Due Time"|"Drama"|"Film & Video"|"US"|"USD"|"2015-01-19 00:00:00"|"2015-02-18 00:00:00"|30|900.0|925.0|8|"successful"
4115|"Starseed Supply Co. - Patches & New Age / Esoteric Fashion"|"Accessories"|"Fashion"|"US"|"USD"|"2016-03-28 00:00:00"|"2016-04-27 00:00:00"|30|3500.0|1064.11|23|"failed"
4116|"Expect Resistance (Canceled)"|"Documentary"|"Film & Video"|"US"|"USD"|"2011-08-10 00:00:00"|"2011-10-08 00:00:00"|59|8000.0|15.0|1|"canceled"
4117|"Exemplar: Tales of the New Roman Empire RPG"|"Tabletop Games"|"Games"|"US"|"USD"|"2012-11-18 00:00:00"|"2012-12-31 00:00:00"|43|18000.0|1957.0|46|"failed"
4118|"Whitehall Theatre Presents: Little Shop of Horrors"|"Musical"|"Theater"|"CA"|"CAD"|"2016-06-11 00:00:00"|"2016-07-11 00:00:00"|30|777.24|893.83|10|"successful"
4119|"DotsPlus ""Super Grid"" Notebook"|"Product Design"|"Design"|"US"|"USD"|"2016-10-24 00:00:00"|"2016-11-18 00:00:00"|25|5000.0|11048.0|273|"successful"
4120|"Boy's Love Coloring Book (B.L.C.B.) BL/Yaoi"|"Illustration"|"Art"|"US"|"USD"|"2016-06-04 00:00:00"|"2016-07-04 00:00:00"|30|5000.0|6360.0|123|"successful"
4121|"Resource Booker"|"Technology"|"Technology"|"GB"|"GBP"|"2016-06-03 00:00:00"|"2016-07-18 00:00:00"|45|15714.01|14.4|2|"failed"
4122|"Wonderland, The Album"|"Music"|"Music"|"N,0"""|"GBP"|"2016-04-05 00:00:00"|"2016-05-05 00:00:00"|30|2173.82|3349.13|0|"successful"
4123|"Kickstarted: Documenting the Crowdfunding Revolution"|"Documentary"|"Film & Video"|"US"|"USD"|"2013-05-28 00:00:00"|"2013-06-27 00:00:00"|30|85000.0|86935.0|839|"successful"
4124|"Reach your Potental and Control your Future Goal setting"|"Publishing"|"Publishing"|"US"|"USD"|"2014-06-13 00:00:00"|"2014-07-13 00:00:00"|30|8000.0|0.0|0|"failed"
4125|"GIA WARNER'S New CD ""The Assurance of Clouds""."|"Music"|"Music"|"US"|"USD"|"2012-05-16 00:00:00"|"2012-06-18 00:00:00"|33|10500.0|12045.0|55|"successful"
4126|"The Midsummer Spirits"|"Webseries"|"Film & Video"|"AU"|"AUD"|"2015-08-03 00:00:00"|"2015-09-02 00:00:00"|30|174.59|10.48|2|"failed"
4127|"Little Math Genius"|"Software"|"Technology"|"US"|"USD"|"2016-03-21 00:00:00"|"2016-04-20 00:00:00"|30|2000.0|456.0|13|"failed"
4128|"White Wall Wednesday"|"People"|"Photography"|"US"|"USD"|"2016-08-28 00:00:00"|"2016-09-27 00:00:00"|30|5000.0|1648.0|20|"failed"
4129|"Bert's Biskits"|"Food"|"Food"|"US"|"USD"|"2012-02-23 00:00:00"|"2012-03-24 00:00:00"|30|4500.0|175.0|2|"failed"
4130|"Responding to a Sexual Abuse Outcry"|"Publishing"|"Publishing"|"US"|"USD"|"2014-10-23 00:00:00"|"2014-11-28 00:00:00"|36|5000.0|380.0|11|"failed"
4131|"The Moment"|"Art"|"Art"|"US"|"USD"|"2012-03-20 00:00:00"|"2012-04-14 00:00:00"|25|300.0|475.0|7|"successful"
4132|"Border Collie Cafe........A Cookbook for Pet Owners"|"Cookbooks"|"Food"|"US"|"USD"|"2014-07-09 00:00:00"|"2014-08-08 00:00:00"|30|5000.0|0.0|0|"canceled"
4133|"""The Catalyst"" Music EP"|"Pop"|"Music"|"US"|"USD"|"2012-02-25 00:00:00"|"2012-04-25 00:00:00"|60|5000.0|5026.12|139|"successful"
4134|"Kaleido :: Leather clutches with Japanese-inspired interiors"|"Accessories"|"Fashion"|"US"|"USD"|"2016-07-12 00:00:00"|"2016-08-11 00:00:00"|30|10000.0|2675.0|24|"failed"
4135|"BILLY HARVEY's new album - DEAR DANGER,"|"Music"|"Music"|"US"|"USD"|"2014-02-22 00:00:00"|"2014-03-24 00:00:00"|30|15000.0|21681.0|208|"successful"
4136|"Oh, My Bonnets & Bustles!"|"Fashion"|"Fashion"|"US"|"USD"|"2012-05-30 00:00:00"|"2012-07-14 00:00:00"|45|5000.0|156.0|7|"failed"
4137|"Breathless EP"|"Music"|"Music"|"US"|"USD"|"2012-01-03 00:00:00"|"2012-03-03 00:00:00"|60|7350.0|125.0|7|"failed"
4138|"Organic, tasty Shrimps from Northern Germany into the world"|"Food"|"Food"|"US"|"USD"|"2014-05-05 00:00:00"|"2014-07-04 00:00:00"|60|250000.0|394.0|9|"failed"
4139|"Pacific Star III"|"Photography"|"Photography"|"US"|"USD"|"2010-07-18 00:00:00"|"2010-09-16 00:00:00"|60|16000.0|366.0|16|"failed"
4140|"Mice & Dice from Stesso Games (Canceled)"|"Tabletop Games"|"Games"|"US"|"USD"|"2014-03-07 00:00:00"|"2014-04-09 00:00:00"|33|20000.0|8744.0|176|"canceled"
4141|"Therapy Decks: Playing Cards for Speech and Language Therapy"|"Playing Cards"|"Games"|"US"|"USD"|"2016-02-01 00:00:00"|"2016-03-02 00:00:00"|30|8000.0|3433.0|29|"failed"
4142|"Pazls - the future of modular furniture"|"Product Design"|"Design"|"DE"|"EUR"|"2017-05-05 00:00:00"|"2017-06-09 00:00:00"|35|55880.28|11632.04|25|"canceled"
4143|"The HENCH Bicycle Lock (See Video)"|"Product Design"|"Design"|"GB"|"GBP"|"2014-05-27 00:00:00"|"2014-06-26 00:00:00"|30|42581.46|3629.64|38|"failed"
4144|"Mount Manresa: The Story"|"Nonfiction"|"Publishing"|"US"|"USD"|"2015-11-09 00:00:00"|"2016-01-08 00:00:00"|60|10000.0|1470.0|24|"failed"
4145|"Mainstay | Coffee - Community - Causes"|"Drinks"|"Food"|"US"|"USD"|"2017-05-04 00:00:00"|"2017-06-03 00:00:00"|30|7500.0|7915.0|101|"successful"
4146|"Hidden Colors 3"|"Documentary"|"Film & Video"|"US"|"USD"|"2013-09-11 00:00:00"|"2013-10-11 00:00:00"|30|50000.0|72733.54|966|"successful"
4147|"TasteBud - Make things taste better."|"Product Design"|"Design"|"US"|"USD"|"2015-05-21 00:00:00"|"2015-06-15 00:00:00"|25|5000.0|1157.0|28|"failed"
4148|"TamFest"|"Festivals"|"Theater"|"GB"|"GBP"|"2015-10-13 00:00:00"|"2015-10-30 00:00:00"|17|8436.88|168.74|2|"failed"
4149|"Vanity Union - dress fashionable and support children!"|"Apparel"|"Fashion"|"GB"|"GBP"|"2015-02-21 00:00:00"|"2015-03-23 00:00:00"|30|37188.55|209.74|3|"failed"
4150|"DVD Release Of INRI Jesus Now"|"Film & Video"|"Film & Video"|"US"|"USD"|"2011-06-07 00:00:00"|"2011-09-05 00:00:00"|90|975.0|0.0|0|"failed"
4151|"GAME: Just Stay Connected"|"Playing Cards"|"Games"|"US"|"USD"|"2017-11-21 00:00:00"|"2017-12-16 00:00:00"|25|6000.0|12.0|2|"canceled"
4152|"Yemima - Never Too Soon EP"|"World Music"|"Music"|"US"|"USD"|"2012-04-19 00:00:00"|"2012-05-19 00:00:00"|30|1200.0|1426.01|51|"successful"
4153|"Knit It Black: for Black Dogs and Cats"|"Knitting"|"Crafts"|"US"|"USD"|"2015-08-02 00:00:00"|"2015-09-01 00:00:00"|30|3000.0|8744.0|313|"successful"
4154|"Manifest Destiny"|"Shorts"|"Film & Video"|"US"|"USD"|"2011-06-30 00:00:00"|"2011-08-14 00:00:00"|45|2000.0|2060.0|43|"successful"
4155|"XOcamm (Canceled)"|"Gadgets"|"Technology"|"AU"|"AUD"|"2015-04-22 00:00:00"|"2015-05-22 00:00:00"|30|94592.46|0.0|0|"canceled"
4156|"North Carolina Beauty - Capturing through Photography"|"Photography"|"Photography"|"US"|"USD"|"2013-07-24 00:00:00"|"2013-08-19 00:00:00"|26|1200.0|0.0|0|"canceled"
4157|"Jazz Stew Filling The Jazz Void Project"|"Jazz"|"Music"|"US"|"USD"|"2013-10-14 00:00:00"|"2013-11-21 00:00:00"|38|50000.0|101.0|3|"failed"
4158|"The English Teacher"|"Documentary"|"Film & Video"|"GB"|"GBP"|"2014-09-19 00:00:00"|"2014-10-16 00:00:00"|27|17479.89|0.0|0|"failed"
4159|"Bring Shakespeare to San Jose"|"Theater"|"Theater"|"US"|"USD"|"2011-04-12 00:00:00"|"2011-06-01 00:00:00"|50|1000.0|75.0|2|"failed"
4160|"SEVENTH PROJECT"|"Dance"|"Dance"|"US"|"USD"|"2014-04-26 00:00:00"|"2014-06-05 00:00:00"|40|12000.0|12159.0|73|"successful"
4161|"The Amazing Shortcut Keypad"|"DIY Electronics"|"Technology"|"GB"|"GBP"|"2017-06-23 00:00:00"|"2017-07-21 00:00:00"|28|3897.57|1504.61|125|"failed"
4162|"Handmade Ceramics - 150 pieces in 30 days"|"Ceramics"|"Art"|"US"|"USD"|"2013-11-18 00:00:00"|"2013-12-18 00:00:00"|30|3500.0|3725.0|55|"successful"
4163|"Eyeball Boxing - The Card Game"|"Tabletop Games"|"Games"|"US"|"USD"|"2016-09-27 00:00:00"|"2016-10-27 00:00:00"|30|1000.0|1039.16|30|"successful"
4164|"Empowerment Through Yoga"|"Performance Art"|"Art"|"US"|"USD"|"2016-04-19 00:00:00"|"2016-05-19 00:00:00"|30|15000.0|8976.0|11|"failed"
4165|"THE EYES OF: SOUTH AFRICA"|"Photography"|"Photography"|"US"|"USD"|"2015-02-18 00:00:00"|"2015-03-12 00:00:00"|22|2340.0|435.0|3|"failed"
4166|"Duck eggs..the better incredible edible egg!"|"Restaurants"|"Food"|"US"|"USD"|"2015-02-24 00:00:00"|"2015-03-27 00:00:00"|31|3000.0|0.0|0|"failed"
4167|"Jovel Johnson EP Debut: Time"|"Pop"|"Music"|"US"|"USD"|"2012-06-14 00:00:00"|"2012-07-24 00:00:00"|40|5000.0|215.0|6|"failed"
4168|"Agile | Your Premium Modular Backpack for Work | Travel"|"Product Design"|"Design"|"US"|"USD"|"2017-12-12 00:00:00"|"2018-02-10 00:00:00"|60|15000.0|37697.0|196|"live"
4169|"Tiny Places Zine"|"Illustration"|"Art"|"US"|"USD"|"2017-05-11 00:00:00"|"2017-06-10 00:00:00"|30|300.0|20.0|1|"failed"
4170|"Daniel Corozza - Allegations Of A Conversation"|"Music"|"Music"|"N,0"""|"USD"|"2015-09-01 00:00:00"|"2015-10-01 00:00:00"|30|2500.0|65.0|0|"undefined"
4171|"Contagious Faith | NEW ALBUMS (English & Spanish)"|"Faith"|"Music"|"US"|"USD"|"2015-09-28 00:00:00"|"2015-10-31 00:00:00"|33|15000.0|16766.77|130|"successful"
4172|"A CHILD BORN MAN (Canceled)"|"Nonfiction"|"Publishing"|"US"|"USD"|"2012-09-18 00:00:00"|"2012-10-18 00:00:00"|30|1900.0|0.0|0|"canceled"
4173|"Mineblock - A Small Affordable Minecraft Home Server"|"Product Design"|"Design"|"CA"|"CAD"|"2014-10-28 00:00:00"|"2014-11-27 00:00:00"|30|43871.19|4928.49|66|"failed"
4174|"Center for International Maritime Security"|"Academic"|"Publishing"|"US"|"USD"|"2014-10-07 00:00:00"|"2014-10-28 00:00:00"|21|900.0|2805.0|41|"successful"
4175|"'Down Down Boy' Music Video"|"Mixed Media"|"Art"|"US"|"USD"|"2012-10-21 00:00:00"|"2012-11-16 00:00:00"|26|2000.0|3204.45|63|"successful"
