"ID"|"project_name"|"subcategory_name"|"category_name"|"country"|"currency"|"launch_date"|"deadline_date"|"duration_days"|"goal"|"money_raised"|"no_of_backers"|"outcome"
6218|"Storm Hollow: Call to Adventure"|"Tabletop Games"|"Games"|"US"|"USD"|"2017-10-25 00:00:00"|"2017-11-09 00:00:00"|15|35000.0|3904.0|63|"canceled"
6219|"IndieHarbor, A true indie artist's platform."|"Music"|"Music"|"N,0"""|"CAD"|"2015-04-21 00:00:00"|"2015-05-21 00:00:00"|30|4098.36|13.11|0|"undefined"
6220|"Fico - The World's 1st Finger Condom for your Everyday Life"|"Product Design"|"Design"|"FR"|"EUR"|"2015-11-02 00:00:00"|"2015-12-02 00:00:00"|30|1744.33|126.46|11|"failed"
6221|"Open Water - An Artist Interprets the Arctic"|"Painting"|"Art"|"US"|"USD"|"2013-02-01 00:00:00"|"2013-03-01 00:00:00"|28|5800.0|8642.0|146|"successful"
6222|"Anime Terrain"|"Sculpture"|"Art"|"GB"|"GBP"|"2014-10-07 00:00:00"|"2014-11-06 00:00:00"|30|1581.95|3.16|1|"failed"
6223|"TWISTED"|"Thrillers"|"Film & Video"|"GB"|"GBP"|"2016-05-07 00:00:00"|"2016-07-06 00:00:00"|60|422.06|1.3|1|"failed"
6224|"Flyka-Electric Feature Film Dolly-Steadicam-Television"|"Hardware"|"Technology"|"GB"|"GBP"|"2013-11-14 00:00:00"|"2013-12-14 00:00:00"|30|35985.93|2824.9|10|"failed"
6225|"Money For Nothing"|"Conceptual Art"|"Art"|"GB"|"GBP"|"2014-07-21 00:00:00"|"2014-08-20 00:00:00"|30|16.58|18.24|2|"successful"
6226|"He Who Laughs Last - A Cthulhu Dark RPG Scenario"|"Tabletop Games"|"Games"|"US"|"USD"|"2014-02-10 00:00:00"|"2014-03-15 00:00:00"|33|3000.0|9031.16|385|"successful"
6227|"At The Docks"|"Rock"|"Music"|"US"|"USD"|"2014-11-20 00:00:00"|"2014-12-14 00:00:00"|24|500.0|745.0|10|"successful"
6228|"Help pay Anam Cara's directors!"|"Theater"|"Theater"|"US"|"USD"|"2015-02-09 00:00:00"|"2015-03-11 00:00:00"|30|1350.0|1445.0|34|"successful"
6229|"Worlds first Chalk Toy!"|"Crafts"|"Crafts"|"US"|"USD"|"2014-04-17 00:00:00"|"2014-05-17 00:00:00"|30|20000.0|59.0|3|"failed"
6230|"lil paw-paw's treats"|"Small Batch"|"Food"|"US"|"USD"|"2014-07-14 00:00:00"|"2014-07-29 00:00:00"|15|15.0|5.0|1|"failed"
6231|"The Lost Room"|"Immersive"|"Theater"|"GB"|"GBP"|"2015-03-19 00:00:00"|"2015-04-18 00:00:00"|30|3779.86|3909.89|48|"successful"
6232|"lifeleash Tourniquets™. Easy to use, built-in medical device"|"Wearables"|"Technology"|"US"|"USD"|"2015-08-08 00:00:00"|"2015-09-07 00:00:00"|30|100000.0|266.0|6|"suspended"
6233|"Explore the Amazon with me!"|"Webseries"|"Film & Video"|"CA"|"CAD"|"2014-02-26 00:00:00"|"2014-03-28 00:00:00"|30|8606.63|9.06|1|"failed"
6234|"The Stone Tapes: The Kingdom of Mercia"|"Music"|"Music"|"US"|"USD"|"2017-05-06 00:00:00"|"2017-06-15 00:00:00"|40|2200.0|715.0|32|"failed"
6235|"The project: You name this family of wood ipad accessories."|"Product Design"|"Design"|"US"|"USD"|"2011-10-14 00:00:00"|"2011-11-23 00:00:00"|40|5000.0|1152.0|18|"canceled"
6236|"One woman, three months, a camera, backpack & the wilderness"|"Nature"|"Photography"|"AU"|"AUD"|"2015-04-17 00:00:00"|"2015-05-17 00:00:00"|30|5912.03|106.42|2|"failed"
6237|"I've Got The Music In Me"|"Pop"|"Music"|"US"|"USD"|"2015-05-11 00:00:00"|"2015-06-08 00:00:00"|28|3500.0|178.0|4|"failed"
6238|"Tsaaloh Expedition - A Short Film"|"Shorts"|"Film & Video"|"US"|"USD"|"2015-04-29 00:00:00"|"2015-05-29 00:00:00"|30|10000.0|1393.0|24|"failed"
6239|"What we leave behind"|"Art"|"Art"|"US"|"USD"|"2016-04-25 00:00:00"|"2016-05-18 00:00:00"|23|600.0|2061.0|51|"successful"
6240|"Loot the Body - An Adventure Card Game for Every Party"|"Tabletop Games"|"Games"|"US"|"USD"|"2017-11-07 00:00:00"|"2017-12-12 00:00:00"|35|8000.0|2478.0|68|"failed"
